Objeto,Procedencia,Fecha Medida,Hora Medida,Valor
DSRADG01EAS,STC,21/01/2016,100,0
DSRADG01EAS,STC,21/01/2016,200,0
DSRADG01EAS,STC,21/01/2016,300,0
DSRADG01EAS,STC,21/01/2016,400,0
DSRADG01EAS,STC,21/01/2016,500,0
DSRADG01EAS,STC,21/01/2016,600,0
DSRADG01EAS,STC,21/01/2016,700,0.089
DSRADG01EAS,STC,21/01/2016,800,0.985
DSRADG01EAS,STC,21/01/2016,900,2.889
DSRADG01EAS,STC,21/01/2016,1000,4.751
DSRADG01EAS,STC,21/01/2016,1100,6.241
DSRADG01EAS,STC,21/01/2016,1200,7.157
DSRADG01EAS,STC,21/01/2016,1300,7.123
DSRADG01EAS,STC,21/01/2016,1400,7.471
DSRADG01EAS,STC,21/01/2016,1500,7.023
DSRADG01EAS,STC,21/01/2016,1600,6.188
DSRADG01EAS,STC,21/01/2016,1700,4.372
DSRADG01EAS,STC,21/01/2016,1800,1.819
DSRADG01EAS,STC,21/01/2016,1900,1.24
DSRADG01EAS,STC,21/01/2016,2000,0.111
DSRADG01EAS,STC,21/01/2016,2100,0
DSRADG01EAS,STC,21/01/2016,2200,0
DSRADG01EAS,STC,21/01/2016,2300,0
DSRADG01EAS,STC,21/01/2016,2400,0
DSRADG01EAS,STC,22/01/2016,100,0
DSRADG01EAS,STC,22/01/2016,200,0
DSRADG01EAS,STC,22/01/2016,300,0
DSRADG01EAS,STC,22/01/2016,400,0
DSRADG01EAS,STC,22/01/2016,500,0
DSRADG01EAS,STC,22/01/2016,600,0
DSRADG01EAS,STC,22/01/2016,700,0.116
DSRADG01EAS,STC,22/01/2016,800,0.868
DSRADG01EAS,STC,22/01/2016,900,2.907
DSRADG01EAS,STC,22/01/2016,1000,4.783
DSRADG01EAS,STC,22/01/2016,1100,6.366
DSRADG01EAS,STC,22/01/2016,1200,7.297
DSRADG01EAS,STC,22/01/2016,1300,7.715
DSRADG01EAS,STC,22/01/2016,1400,7.702
DSRADG01EAS,STC,22/01/2016,1500,7.211
DSRADG01EAS,STC,22/01/2016,1600,6.296
DSRADG01EAS,STC,22/01/2016,1700,4.892
DSRADG01EAS,STC,22/01/2016,1800,3.043
DSRADG01EAS,STC,22/01/2016,1900,1.09
DSRADG01EAS,STC,22/01/2016,2000,0.138
DSRADG01EAS,STC,22/01/2016,2100,0
DSRADG01EAS,STC,22/01/2016,2200,0
DSRADG01EAS,STC,22/01/2016,2300,0
DSRADG01EAS,STC,22/01/2016,2400,0
DSRADG01EAS,STC,23/01/2016,100,0
DSRADG01EAS,STC,23/01/2016,200,0
DSRADG01EAS,STC,23/01/2016,300,0
DSRADG01EAS,STC,23/01/2016,400,0
DSRADG01EAS,STC,23/01/2016,500,0
DSRADG01EAS,STC,23/01/2016,600,0
DSRADG01EAS,STC,23/01/2016,700,0.036
DSRADG01EAS,STC,23/01/2016,800,0.849
DSRADG01EAS,STC,23/01/2016,900,2.745
